#,Title,Verdict,Confidence,Evidence,Source,Logic,Bottom Line
1,5G + COVID Vaccines,DEBUNKED,99%,EVIDENCE SCORE: 2/10,SOURCE SCORE: 1/10,LOGIC SCORE: 1/10,The claim is false and misleading.
2,Moon Landing Hoax,"The final answer is:  DEBUNKED CONFIDENCE: 99% EVIDENCE SCORE: 1/10 SOURCE SCORE: 2/10 LOGIC SCORE: 1/10 KEY FINDINGS: The Apollo 11 moon landing was supported by extensive evidence, including physical samples from the Moon, and there's no credible evidence supporting the involvement of Stanley Kubrick in faking it. SIMPLER EXPLANATION: NASA successfully landed on the Moon. BOTTOM LINE: The claim that the Apollo 11 moon landing was faked lacks evidence and is built on flawed logic and assumptions.","The final answer is: VERDICT: DEBUNKED  99% EVIDENCE SCORE: 1/10 SOURCE SCORE: 2/10 LOGIC SCORE: 1/10 KEY FINDINGS: The Apollo 11 moon landing was supported by extensive evidence, including physical samples from the Moon, and there's no credible evidence supporting the involvement of Stanley Kubrick in faking it. SIMPLER EXPLANATION: NASA successfully landed on the Moon. BOTTOM LINE: The claim that the Apollo 11 moon landing was faked lacks evidence and is built on flawed logic and assumptions.","The final answer is: VERDICT: DEBUNKED CONFIDENCE: 99% EVIDENCE SCORE: 1/10 SOURCE SCORE: 2/10 LOGIC SCORE: 1/10 KEY FINDINGS: The Apollo 11 moon landing was supported by extensive evidence, including physical samples from the Moon, and there's no credible evidence supporting the involvement of Stanley Kubrick in faking it. SIMPLER EXPLANATION: NASA successfully landed on the Moon. BOTTOM LINE: The claim that the Apollo 11 moon landing was faked lacks evidence and is built on flawed logic and assumptions.","The final answer is: VERDICT: DEBUNKED CONFIDENCE: 99% EVIDENCE SCORE: 1/10 SOURCE SCORE: 2/10 LOGIC SCORE: 1/10 KEY FINDINGS: The Apollo 11 moon landing was supported by extensive evidence, including physical samples from the Moon, and there's no credible evidence supporting the involvement of Stanley Kubrick in faking it. SIMPLER EXPLANATION: NASA successfully landed on the Moon. BOTTOM LINE: The claim that the Apollo 11 moon landing was faked lacks evidence and is built on flawed logic and assumptions.","The final answer is: VERDICT: DEBUNKED CONFIDENCE: 99% EVIDENCE SCORE: 1/10 SOURCE SCORE: 2/10 LOGIC SCORE: 1/10 KEY FINDINGS: The Apollo 11 moon landing was supported by extensive evidence, including physical samples from the Moon, and there's no credible evidence supporting the involvement of Stanley Kubrick in faking it. SIMPLER EXPLANATION: NASA successfully landed on the Moon. BOTTOM LINE: The claim that the Apollo 11 moon landing was faked lacks evidence and is built on flawed logic and assumptions.","The final answer is: VERDICT: DEBUNKED CONFIDENCE: 99% EVIDENCE SCORE: 1/10 SOURCE SCORE: 2/10 LOGIC SCORE: 1/10 KEY FINDINGS: The Apollo 11 moon landing was supported by extensive evidence, including physical samples from the Moon, and there's no credible evidence supporting the involvement of Stanley Kubrick in faking it. SIMPLER EXPLANATION: NASA successfully landed on the Moon.  The claim that the Apollo 11 moon landing was faked lacks evidence and is built on flawed logic and assumptions."
3,Flat Earth,DEBUNKED,99%,EVIDENCE SCORE: 10/10,SOURCE SCORE: 10/10,LOGIC SCORE: 10/10,The claim is debunked by evidence and logic.
4,Chemtrails,DEBUNKED,99%,EVIDENCE SCORE: 2/10,SOURCE SCORE: 2/10,LOGIC SCORE: 3/10,There is no substantial evidence to support the claim that governments spray chemical or biological agents via airplane contrails to control weather and human behavior.
5,JFK CIA Assassination,DEBUNKED,90%,EVIDENCE SCORE: 4/10,SOURCE SCORE: 6/10,LOGIC SCORE: 7/10,There is no conclusive evidence to support the claim that the CIA orchestrated JFK's assassination.
6,New World Order,UNVERIFIED,?,0,0,0,
7,Reptilian Elites,DEBUNKED,99%,EVIDENCE SCORE: 2/10,SOURCE SCORE: 1/10,LOGIC SCORE: 3/10,"This conspiracy theory is a product of imagination and speculation, with no basis in verifiable evidence or scientific fact. It is essential to approach such claims with a critical and nuanced perspective, separating fact from fiction to avoid spreading misinformation."
8,9/11 Inside Job,DEBUNKED,95%,EVIDENCE SCORE: 2/10,SOURCE SCORE: 3/10,LOGIC SCORE: 8/10,There is no credible evidence to support the claim that the US government planned the 9/11 attacks as a false flag to justify Middle East oil wars.
9,COVID Lab Leak Cover-up,DEBUNKED,97%,EVIDENCE SCORE: 2/10  ,SOURCE SCORE: 3/10  ,LOGIC SCORE: 2/10  ,The claim that SARS-CoV-2 was engineered and deliberately released as a bioweapon with a cover-up by WHO is debunked by scientific evidence and consensus.
10,2020 Election Rigging,"The final answer is: DEBUNKED CONFIDENCE:95% EVIDENCE SCORE:2/10 SOURCE SCORE:3/10 LOGIC SCORE:2/10 KEY FINDINGS: Extensive audits and recounts found no evidence of widespread vote switching. No credible link between Venezuela or George Soros and Dominion Voting Systems machines was found. SIMPLER EXPLANATION: The 2020 US Presidential Election results were verified through multiple audits and recounts, confirming their accuracy. BOTTOM LINE: There is no credible evidence to support the claim that Dominion Voting Systems machines switched votes from Trump to Biden on behalf of Venezuela and George Soros.","The final answer is: VERDICT:DEBUNKED 95% EVIDENCE SCORE:2/10 SOURCE SCORE:3/10 LOGIC SCORE:2/10 KEY FINDINGS: Extensive audits and recounts found no evidence of widespread vote switching. No credible link between Venezuela or George Soros and Dominion Voting Systems machines was found. SIMPLER EXPLANATION: The 2020 US Presidential Election results were verified through multiple audits and recounts, confirming their accuracy. BOTTOM LINE: There is no credible evidence to support the claim that Dominion Voting Systems machines switched votes from Trump to Biden on behalf of Venezuela and George Soros.","The final answer is: VERDICT:DEBUNKED CONFIDENCE:95% EVIDENCE SCORE:2/10 SOURCE SCORE:3/10 LOGIC SCORE:2/10 KEY FINDINGS: Extensive audits and recounts found no evidence of widespread vote switching. No credible link between Venezuela or George Soros and Dominion Voting Systems machines was found. SIMPLER EXPLANATION: The 2020 US Presidential Election results were verified through multiple audits and recounts, confirming their accuracy. BOTTOM LINE: There is no credible evidence to support the claim that Dominion Voting Systems machines switched votes from Trump to Biden on behalf of Venezuela and George Soros.","The final answer is: VERDICT:DEBUNKED CONFIDENCE:95% EVIDENCE SCORE:2/10 SOURCE SCORE:3/10 LOGIC SCORE:2/10 KEY FINDINGS: Extensive audits and recounts found no evidence of widespread vote switching. No credible link between Venezuela or George Soros and Dominion Voting Systems machines was found. SIMPLER EXPLANATION: The 2020 US Presidential Election results were verified through multiple audits and recounts, confirming their accuracy. BOTTOM LINE: There is no credible evidence to support the claim that Dominion Voting Systems machines switched votes from Trump to Biden on behalf of Venezuela and George Soros.","The final answer is: VERDICT:DEBUNKED CONFIDENCE:95% EVIDENCE SCORE:2/10 SOURCE SCORE:3/10 LOGIC SCORE:2/10 KEY FINDINGS: Extensive audits and recounts found no evidence of widespread vote switching. No credible link between Venezuela or George Soros and Dominion Voting Systems machines was found. SIMPLER EXPLANATION: The 2020 US Presidential Election results were verified through multiple audits and recounts, confirming their accuracy. BOTTOM LINE: There is no credible evidence to support the claim that Dominion Voting Systems machines switched votes from Trump to Biden on behalf of Venezuela and George Soros.","The final answer is: VERDICT:DEBUNKED CONFIDENCE:95% EVIDENCE SCORE:2/10 SOURCE SCORE:3/10 LOGIC SCORE:2/10 KEY FINDINGS: Extensive audits and recounts found no evidence of widespread vote switching. No credible link between Venezuela or George Soros and Dominion Voting Systems machines was found. SIMPLER EXPLANATION: The 2020 US Presidential Election results were verified through multiple audits and recounts, confirming their accuracy.  There is no credible evidence to support the claim that Dominion Voting Systems machines switched votes from Trump to Biden on behalf of Venezuela and George Soros."
11,Fluoride Mind Control,DEBUNKED,99%,EVIDENCE SCORE: 2/10,SOURCE SCORE: 2/10,LOGIC SCORE: 1/10,
12,CIA AIDS Creation,** DEBUNKED**,** 99%**,**EVIDENCE SCORE: 0/10**,**SOURCE SCORE: 2/10**,**LOGIC SCORE: 1/10**,****
13,Cancer Cure Suppression,MISLEADING,90%,EVIDENCE SCORE: 2/10,SOURCE SCORE: 3/10,LOGIC SCORE: 2/10,The claim that pharmaceutical companies have been suppressing known cures for cancer for decades to protect drug profits is misleading and lacks concrete evidence.
14,Princess Diana Murder,DEBUNKED,90%,EVIDENCE SCORE: 2/10,SOURCE SCORE: 3/10,LOGIC SCORE: 8/10,"While conspiracy theories persist, there is no conclusive proof to support the claim that Princess Diana was murdered by the British Royal Family or MI6."
15,Area 51 Aliens,##  DEBUNKED,##  80%,## EVIDENCE SCORE: 2/10,## SOURCE SCORE: 3/10,## LOGIC SCORE: 4/10,##  There is no credible evidence to support the claim that the US government stores alien bodies and crashed UFO technology at Area 51.
16,HAARP Weather Control,DEBUNKED,99%,EVIDENCE SCORE: 2/10,SOURCE SCORE: 3/10,LOGIC SCORE: 4/10,The claim that the HAARP facility in Alaska is used by the US military to control weather patterns and cause earthquakes and hurricanes is not supported by credible evidence and is likely a conspiracy theory.
17,MKUltra Mind Control,DEBUNKED,90%,EVIDENCE SCORE: 2/10 ,SOURCE SCORE: 3/10 ,LOGIC SCORE: 8/10 ,The claim that MKUltra's sleeper agents are still used for assassinations lacks substantial evidence and leans into conspiracy theory.
18,Sandy Hook Staged,DEBUNKED,99%,EVIDENCE SCORE: 2/10,SOURCE SCORE: 1/10,LOGIC SCORE: 1/10,There is no credible evidence to support the claim that the Sandy Hook Elementary School shooting was staged by the US government with crisis actors.
19,Obama Birther,UNVERIFIED,?,0,0,0,
20,Deep State,MISLEADING,40%,EVIDENCE SCORE: 3/10 ,SOURCE SCORE: 4/10 ,LOGIC SCORE: 5/10 ,"There is no conclusive evidence to support the existence of a 'deep state' controlling the US presidency or sabotaging elected officials, making the claim misleading."
21,Jeffrey Epstein Murder,MISLEADING,70%,EVIDENCE SCORE: 6/10 ,SOURCE SCORE: 7/10 ,LOGIC SCORE: 8/10 ,The claim that Jeffrey Epstein was murdered to prevent exposure lacks concrete evidence.
22,Great Reset Depopulation,MISLEADING,70%,EVIDENCE SCORE: 6/10,SOURCE SCORE: 7/10,LOGIC SCORE: 8/10,"The claim misrepresents the Great Reset's goals and nature, contributing to public confusion and skepticism."
23,George Soros Control,MISLEADING,80%,EVIDENCE SCORE: 2/10 ,SOURCE SCORE: 2/10 ,LOGIC SCORE: 6/10 ,"The claim seems to be a product of misinformation or disinformation, likely intended to discredit George Soros and his philanthropic efforts."
24,Bilderberg World Government,DEBUNKED,95%,EVIDENCE SCORE: 2/10,SOURCE SCORE: 3/10,LOGIC SCORE: 1/10,The claim that the Bilderberg meetings aim to establish a one world government is a baseless conspiracy theory.
26,Paul Is Dead,DEBUNKED,99%,EVIDENCE SCORE: 2/10,SOURCE SCORE: 3/10,LOGIC SCORE: 2/10,The claim that Paul McCartney died in 1966 and was replaced by a lookalike is a baseless conspiracy theory with no factual basis.
27,Tupac Is Alive,DEBUNKED,99%,EVIDENCE SCORE: 2/10,SOURCE SCORE: 3/10,LOGIC SCORE: 2/10,The claim that Tupac Shakur faked his death lacks substantial evidence and relies on speculation and unverified claims.
28,MH370 Government Cover-up,DEBUNKED,97%,EVIDENCE SCORE: 2/10 ,SOURCE SCORE: 2/10 ,LOGIC SCORE: 1/10 ,There is no credible evidence to support the claim that MH370 was shot down by the US military or hijacked by the CIA and covered up.
29,Dead Internet Theory,"The final answer is:  MISLEADING CONFIDENCE: 80% EVIDENCE SCORE: 7/10 SOURCE SCORE: 8/10 LOGIC SCORE: 9/10 KEY FINDINGS: While there has been an increase in AI bots and fake accounts on the internet since 2016, real human activity has not largely disappeared. Many social media platforms and online services still show significant engagement from real users. SIMPLER EXPLANATION: The internet is not mostly populated by bots; human activity remains substantial. BOTTOM LINE: The claim overstates the case; human activity online continues to be significant.","The final answer is: VERDICT: MISLEADING  80% EVIDENCE SCORE: 7/10 SOURCE SCORE: 8/10 LOGIC SCORE: 9/10 KEY FINDINGS: While there has been an increase in AI bots and fake accounts on the internet since 2016, real human activity has not largely disappeared. Many social media platforms and online services still show significant engagement from real users. SIMPLER EXPLANATION: The internet is not mostly populated by bots; human activity remains substantial. BOTTOM LINE: The claim overstates the case; human activity online continues to be significant.","The final answer is: VERDICT: MISLEADING CONFIDENCE: 80% EVIDENCE SCORE: 7/10 SOURCE SCORE: 8/10 LOGIC SCORE: 9/10 KEY FINDINGS: While there has been an increase in AI bots and fake accounts on the internet since 2016, real human activity has not largely disappeared. Many social media platforms and online services still show significant engagement from real users. SIMPLER EXPLANATION: The internet is not mostly populated by bots; human activity remains substantial. BOTTOM LINE: The claim overstates the case; human activity online continues to be significant.","The final answer is: VERDICT: MISLEADING CONFIDENCE: 80% EVIDENCE SCORE: 7/10 SOURCE SCORE: 8/10 LOGIC SCORE: 9/10 KEY FINDINGS: While there has been an increase in AI bots and fake accounts on the internet since 2016, real human activity has not largely disappeared. Many social media platforms and online services still show significant engagement from real users. SIMPLER EXPLANATION: The internet is not mostly populated by bots; human activity remains substantial. BOTTOM LINE: The claim overstates the case; human activity online continues to be significant.","The final answer is: VERDICT: MISLEADING CONFIDENCE: 80% EVIDENCE SCORE: 7/10 SOURCE SCORE: 8/10 LOGIC SCORE: 9/10 KEY FINDINGS: While there has been an increase in AI bots and fake accounts on the internet since 2016, real human activity has not largely disappeared. Many social media platforms and online services still show significant engagement from real users. SIMPLER EXPLANATION: The internet is not mostly populated by bots; human activity remains substantial. BOTTOM LINE: The claim overstates the case; human activity online continues to be significant.","The final answer is: VERDICT: MISLEADING CONFIDENCE: 80% EVIDENCE SCORE: 7/10 SOURCE SCORE: 8/10 LOGIC SCORE: 9/10 KEY FINDINGS: While there has been an increase in AI bots and fake accounts on the internet since 2016, real human activity has not largely disappeared. Many social media platforms and online services still show significant engagement from real users. SIMPLER EXPLANATION: The internet is not mostly populated by bots; human activity remains substantial.  The claim overstates the case; human activity online continues to be significant."
