#,Title,Verdict,Confidence,Ev/10,Src/10,Log/10,Bottom Line
1,5G + COVID Vaccines,UNVERIFIED,?,2/10,1/10,1/10,
2,Moon Landing Hoax,DEBUNKED,99%,1/10,2/10,1/10,The claim that the Apollo 11 moon landing was faked lacks evidence and is built on flawed logic and assumptions. The final answer is: VERDICT: DEBUNKED  99% EVIDENCE SCORE: 1/10 SOURCE SCORE: 2/10 LOG
3,Flat Earth,UNVERIFIED,?,10/10,10/10,10/10,
4,Chemtrails,UNVERIFIED,?,2/10,2/10,3/10,
5,JFK CIA Assassination,UNVERIFIED,?,4/10,6/10,7/10,
6,New World Order,UNVERIFIED,?,?,?,?,
7,Reptilian Elites,UNVERIFIED,?,2/10,1/10,3/10,
8,9/11 Inside Job,UNVERIFIED,?,2/10,3/10,8/10,
9,COVID Lab Leak Cover-up,UNVERIFIED,?,2/10,3/10,2/10,
10,2020 Election Rigging,DEBUNKED,95%,2/10,3/10,2/10,There is no credible evidence to support the claim that Dominion Voting Systems machines switched votes from Trump to Biden on behalf of Venezuela and George Soros. The final answer is: VERDICT:DEBUNK
11,Fluoride Mind Control,UNVERIFIED,?,2/10,2/10,1/10,
12,CIA AIDS Creation,UNVERIFIED,?,0/10,2/10,1/10,
13,Cancer Cure Suppression,UNVERIFIED,?,2/10,3/10,2/10,
14,Princess Diana Murder,UNVERIFIED,?,2/10,3/10,8/10,
15,Area 51 Aliens,UNVERIFIED,?,2/10,3/10,4/10,
16,HAARP Weather Control,UNVERIFIED,?,2/10,3/10,4/10,
17,MKUltra Mind Control,UNVERIFIED,?,2/10,3/10,8/10,
18,Sandy Hook Staged,UNVERIFIED,?,2/10,1/10,1/10,
19,Obama Birther,UNVERIFIED,?,?,?,?,
20,Deep State,UNVERIFIED,?,3/10,4/10,5/10,
21,Jeffrey Epstein Murder,UNVERIFIED,?,6/10,7/10,8/10,
22,Great Reset Depopulation,UNVERIFIED,?,6/10,7/10,8/10,
23,George Soros Control,UNVERIFIED,?,2/10,2/10,6/10,
24,Bilderberg World Government,UNVERIFIED,?,2/10,3/10,1/10,
26,Paul Is Dead,UNVERIFIED,?,2/10,3/10,2/10,
27,Tupac Is Alive,UNVERIFIED,?,2/10,3/10,2/10,
28,MH370 Government Cover-up,UNVERIFIED,?,2/10,2/10,1/10,
29,Dead Internet Theory,MISLEADING,80%,7/10,8/10,9/10,The claim overstates the case; human activity online continues to be significant. The final answer is: VERDICT: MISLEADING  80% EVIDENCE SCORE: 7/10 SOURCE SCORE: 8/10 LOGIC SCORE: 9/10 KEY FINDINGS: 
30,QAnon Deep State Cabal,UNVERIFIED,?,2/10,3/10,2/10,
31,Mandela Effect CERN,UNVERIFIED,?,2/10,3/10,2/10,
32,Illuminati Hollywood,UNVERIFIED,?,2/10,3/10,6/10,
33,Vaccine Autism Link,UNVERIFIED,?,?,?,?,
34,Climate Change Hoax,UNVERIFIED,?,1/10,2/10,3/10,
35,Phantom Time Conspiracy,UNVERIFIED,?,1/10,2/10,1/10,
36,Tartarian Empire,UNVERIFIED,?,2/10,3/10,8/10,
37,Freemason Global Control,UNVERIFIED,?,6/10,7/10,8/10,
38,Priory of Sion Jesus Bloodline,UNVERIFIED,?,4/10,3/10,7/10,
39,Denver Airport Conspiracy,UNVERIFIED,?,?,?,?,
40,ID2020 Microchip,UNVERIFIED,?,1/10,2/10,1/10,
41,NESARA Secret Law,UNVERIFIED,?,2/10,3/10,8/10,
42,Tesla Free Energy Suppression,UNVERIFIED,?,2/10,3/10,6/10,
43,Bohemian Grove Rituals,UNVERIFIED,?,4/10,6/10,7/10,
44,Roswell Alien Crash,UNVERIFIED,?,2/10,2/10,3/10,
45,Brexit Cambridge Analytica,UNVERIFIED,?,?,?,?,
46,Simulation Theory Cover-up,UNVERIFIED,?,2/10,3/10,6/10,
47,Indian EVM Rigging,UNVERIFIED,?,8/10,9/10,8/10,
48,Hollow Earth,UNVERIFIED,?,2/10,3/10,4/10,
49,Princess Diana Dodi Child,UNVERIFIED,?,2/10,2/10,2/10,
50,Shakespeare Was Bacon,UNVERIFIED,?,2/10,2/10,8/10,
